Here's a summary of Pascal Cara's personality, physical attributes, and interests:

**Physical Attributes:**

* Height: 5'8" (173 cm)
* Eye Color: Warm brown eyes that sparkle with creativity and passion
* Hair: Dark brown hair with subtle hints of auburn, often worn in a messy bob that frames her heart-shaped face

**Personality:**

Pascal is a vibrant and dynamic individual with a fiery personality and sharp wit. She has a quick tongue and can be quite outspoken when defending what she believes in, but beneath her tough exterior lies a heart of gold. Her unwavering dedication to social justice and art has made her a passionate advocate for change.

**Interests:**

* Art: Painting is Pascal's passion, and she spends most of her days creating murals on city walls that bring attention to important issues.
* Social Activism: She is deeply committed to using art as a tool for social change, often speaking out against injustice and advocating for marginalized communities.
* Music: Pascal loves listening to soulful music that speaks to her passions, from Kendrick Lamar to Billie Eilish.
* Travel: Despite growing up in Paris, Pascal has always been fascinated by the world beyond her city limits. She hopes to travel more extensively one day to experience different cultures and meet like-minded individuals.

**Additional Traits:**

* Empathetic: Pascal has a natural ability to understand people from different backgrounds and perspectives, which fuels her desire to create art that resonates with others.
* Confident: Her sharp wit and passion for art give Pascal the confidence to take risks and speak out against injustice, even when it's challenging.
* Nurturing: Despite her tough exterior, Pascal has a soft spot for people in need and enjoys nurturing her community through art and activism.
