Based on the short story, here is a summary of Flavius Lewis's personality, physical attributes, and interests:

**Physical Attributes:**

* Height: 6'2" (188 cm) - The description states that Flavius Lewis's long coat billows behind him, suggesting he is tall.
* Eye Color: Piercing blue - His enigmatic smile and piercing gaze are mentioned in the story, implying that his eyes are a deep, intense blue.

**Personality:**

* Charismatic and confident - Flavius Lewis exudes an air of quiet confidence as he walks into the tavern, commanding attention from the patrons.
* Mysterious and intriguing - His past is shrouded in speculation, and few know much about him beyond his enigmatic smile.
* Perceptive and insightful - Some say he has an uncanny ability to sense the deepest desires of those around him, while others claim he's a skilled listener who can extract secrets from guarded individuals.
* Charismatic storyteller - Flavius Lewis engages in hushed conversations with patrons, sharing occasional words of wisdom that leave them impressed.

**Interests:**

* Whiskey and good company - As shown in the story, Flavius Lewis orders a double whiskey when he visits Joe's tavern.
* Hearing people's stories - He listens intently to the tales of others, seemingly drawn to their experiences and insights.
* Philosophical discussions - Some patrons mention that Flavius Lewis shares words of wisdom, suggesting he enjoys engaging in deeper conversations about life and human nature.

Please note that some aspects of Flavius Lewis's personality and interests remain speculative or inferred from the story, as his mysterious past is intentionally left unclear.
