Here is a summary of the personality, physical attributes, and interests of the fictional character Maximilian Yumi:

**Physical Attributes:**

* Height: 6'1" (185 cm)
* Eye Color: Piercing green
* Hair Color: Dark brown, often worn messy and unkempt
* Build: Lean and athletic, honed from years of street fighting and physical activity

**Personality:**

* Maximilian Yumi is a complex and enigmatic individual, driven by a desire for excitement and challenge.
* He has a strong sense of loyalty and devotion to those he cares about, particularly Luna.
* Despite his tough exterior, he has a soft spot for those in need and will go to great lengths to protect the vulnerable.
* He is fiercely independent and non-conformist, often challenging authority and pushing boundaries.

**Interests:**

* As a former thief, Maximilian Yumi still enjoys the thrill of the chase and the rush of adrenaline that comes with pulling off a daring heist.
* He is deeply passionate about art and music, often incorporating these elements into his escapades and using them to distract or disorient his enemies.
* He has a fascination with the mysteries of Tokyo's underworld, spending hours pouring over maps and scouring for information on hidden safe houses and secret passageways.

**Additional Traits:**

* Maximilian Yumi is highly intelligent and resourceful, able to think on his feet and come up with creative solutions to complex problems.
* He has a dry sense of humor and enjoys pushing the boundaries of what is considered acceptable behavior in polite society.
* Despite his tough exterior, he has a deep emotional vulnerability and is haunted by secrets from his past that threaten to destroy his partnership with Luna.
